id,name,dept,availability,preferences
T_CS_01,Dr. Ali Khan,CS,THU_10;MON_10;MON_9;THU_11;TUE_10;TUE_9;THU_9;MON_11;TUE_11;FRI_9,evening
T_CS_02,Dr. Sara Ahmed,CS,THU_11;WED_11;MON_10;THU_9;WED_9;MON_9;FRI_11;FRI_9;WED_10;THU_10,evening
T_CS_03,Dr. Bilal Hassan,CS,THU_9;MON_9;WED_11;TUE_9;THU_10;FRI_9;WED_9;THU_11;WED_10;TUE_10,mixed
T_CS_04,Dr. Ayesha Malik,CS,FRI_9;FRI_10;MON_9;MON_11;WED_9;TUE_11;TUE_10;THU_11;MON_10;WED_10,morning
T_CS_05,Dr. Omar Farooq,CS,MON_10;WED_9;FRI_11;TUE_11;THU_11;THU_9;TUE_10;MON_9;THU_10;TUE_9,evening
T_CS_06,Dr. Zainab Bibi,CS,MON_10;WED_9;FRI_11;WED_11;TUE_10;THU_9;TUE_11;TUE_9;THU_11;MON_9,morning
T_CS_07,Dr. Hamza Shah,CS,THU_10;TUE_9;FRI_9;TUE_10;MON_10;FRI_10;FRI_11;WED_9;MON_11;THU_9,evening
T_CS_08,Dr. Fatima Tariq,CS,FRI_10;TUE_11;MON_11;FRI_11;THU_11;TUE_9;TUE_10;MON_10;WED_11;THU_10,morning
T_CS_09,Dr. Usman Gondal,CS,WED_11;THU_11;TUE_9;MON_11;WED_10;WED_9;TUE_10;FRI_9;TUE_11;FRI_10,morning
T_CS_10,Dr. Hina Kareem,CS,TUE_9;FRI_10;MON_9;TUE_11;WED_9;TUE_10;MON_10;FRI_11;THU_9;THU_11,mixed
T_CS_11,Dr. Fahad Mustafa,CS,TUE_9;THU_10;WED_10;WED_9;FRI_10;FRI_9;MON_11;TUE_10;MON_10;THU_11,evening
T_CS_12,Dr. Sana Mir,CS,WED_11;FRI_11;TUE_10;THU_11;THU_9;WED_9;THU_10;TUE_11;MON_10;FRI_10,evening
T_SE_01,Dr. Ahmed Raza,SE,WED_10;MON_10;FRI_9;MON_9;FRI_10;MON_11;THU_9;WED_9;TUE_10;THU_11,mixed
T_SE_02,Dr. Mariam Jamil,SE,WED_9;THU_9;WED_10;WED_11;TUE_10;THU_11;MON_9;MON_10;TUE_11;THU_10,mixed
T_SE_03,Dr. Danish Taimoor,SE,FRI_9;THU_10;TUE_11;MON_10;TUE_10;WED_9;MON_11;WED_10;MON_9;FRI_11,evening
T_SE_04,Dr. Nida Yasir,SE,TUE_10;WED_11;FRI_9;MON_11;FRI_10;MON_10;FRI_11;TUE_9;THU_9;THU_11,morning
T_SE_05,Dr. Yasir Hussain,SE,WED_11;FRI_9;FRI_11;MON_9;THU_9;TUE_11;WED_10;THU_11;FRI_10;MON_11,mixed
T_SE_06,Dr. Sadia Khan,SE,TUE_9;MON_9;FRI_11;THU_9;MON_10;THU_10;WED_10;THU_11;WED_9;TUE_10,morning
T_SE_07,Dr. Fawad Khan,SE,MON_11;THU_10;WED_10;WED_11;FRI_11;TUE_10;THU_11;WED_9;MON_10;THU_9,evening
T_SE_08,Dr. Mahira Khan,SE,THU_11;TUE_9;FRI_11;TUE_10;WED_9;TUE_11;WED_10;WED_11;MON_9;MON_10,morning
T_SE_09,Dr. Humayun Saeed,SE,MON_10;TUE_11;MON_9;THU_9;WED_11;TUE_9;THU_11;FRI_9;WED_10;FRI_10,evening
T_SE_10,Dr. Saba Qamar,SE,MON_9;TUE_9;MON_10;FRI_11;TUE_11;FRI_9;WED_11;FRI_10;MON_11;THU_10,mixed
T_SE_11,Dr. Imran Abbas,SE,TUE_9;WED_11;MON_11;THU_11;THU_9;THU_10;WED_10;FRI_11;WED_9;FRI_10,mixed
T_SE_12,Dr. Ayeza Khan,SE,TUE_9;MON_10;FRI_10;THU_10;WED_9;TUE_11;THU_11;WED_11;FRI_11;THU_9,morning
T_EE_01,Dr. Bilal Abbas,EE,THU_10;FRI_11;FRI_10;MON_10;MON_9;WED_9;TUE_11;THU_11;WED_10;THU_9,morning
T_EE_02,Dr. Hania Aamir,EE,WED_11;WED_10;MON_11;WED_9;FRI_9;TUE_10;FRI_10;TUE_9;THU_11;MON_9,mixed
T_EE_03,Dr. Ahsan Khan,EE,FRI_9;FRI_10;WED_11;MON_10;MON_9;FRI_11;THU_10;THU_11;WED_9;WED_10,morning
T_EE_04,Dr. Sajal Aly,EE,WED_9;WED_10;FRI_10;TUE_9;FRI_11;MON_9;MON_11;THU_10;THU_9;THU_11,mixed
T_EE_05,Dr. Feroze Khan,EE,FRI_11;FRI_9;FRI_10;WED_10;TUE_10;WED_9;WED_11;THU_11;MON_10;THU_9,mixed
T_EE_06,Dr. Yumna Zaidi,EE,TUE_9;MON_9;THU_9;THU_11;WED_11;FRI_10;TUE_11;FRI_9;WED_10;TUE_10,mixed
T_EE_07,Dr. Sheheryar Munawar,EE,WED_11;FRI_10;FRI_11;MON_11;MON_9;FRI_9;MON_10;THU_11;THU_10;TUE_10,morning
T_EE_08,Dr. Kubra Khan,EE,THU_10;FRI_10;TUE_9;WED_9;MON_10;THU_9;FRI_9;MON_9;TUE_10;WED_10,mixed
T_EE_09,Dr. Adnan Siddiqui,EE,THU_10;THU_9;FRI_10;WED_11;TUE_11;TUE_10;TUE_9;FRI_11;MON_10;MON_11,mixed
